"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.11.1.3","dns.google","DNS","58","Standard query 0xe8e9 A lcs.naver.jp"
"2","0.012341","dns.google","10.11.1.3","DNS","74","Standard query response 0xe8e9 A lcs.naver.jp A 203.104.142.66"
"3","0.031873","10.11.1.3","dns.google","DNS","64","Standard query 0x1556 A cgi.connect.qq.com"
"4","0.036730","10.11.1.3","dns.google","DNS","59","Standard query 0x0d1f A fusion.qq.com"
"5","0.115113","10.11.1.3","dns.google","DNS","68","Standard query 0x639b A nelo2-col.linecorp.com"
"6","0.116442","dns.google","10.11.1.3","DNS","75","Standard query response 0x0d1f A fusion.qq.com A 203.205.151.50"
"7","0.119887","10.11.1.3","lcs.naver.jp","TCP","64","51068  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1240 WS=32 TSval=422973179 TSecr=0 SACK_PERM=1"
"8","0.119931","lcs.naver.jp","10.11.1.3","TCP","60","80  >  51068 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2599997015 TSecr=422973179 WS=128"
"9","0.131168","dns.google","10.11.1.3","DNS","84","Standard query response 0x639b A nelo2-col.linecorp.com A 203.104.131.24"
"10","0.237452","dns.google","10.11.1.3","DNS","80","Standard query response 0x1556 A cgi.connect.qq.com A 203.205.151.21"
"11","0.300309","10.11.1.3","lcs.naver.jp","TCP","52","51068  >  80 [ACK] Seq=1 Ack=1 Win=131392 Len=0 TSval=422973360 TSecr=2599997015"
"12","0.312080","10.11.1.3","lcs.naver.jp","HTTP","278","GET /m?u=client%3A%2F%2Fiphoneapp.b612cn&EOU HTTP/1.1 "
"13","0.312122","lcs.naver.jp","10.11.1.3","TCP","52","80  >  51068 [ACK] Seq=1 Ack=227 Win=30080 Len=0 TSval=2599997063 TSecr=422973370"
"14","0.327090","10.11.1.3","fusion.qq.com","TCP","64","51069  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1240 WS=32 TSval=422973384 TSecr=0 SACK_PERM=1"
"15","0.327132","fusion.qq.com","10.11.1.3","TCP","60","443  >  51069 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2599997067 TSecr=422973384 WS=128"
"16","0.334248","10.11.1.3","nelo2-col.linecorp.com","TCP","64","51070  >  10006 [SYN] Seq=0 Win=65535 Len=0 MSS=1240 WS=32 TSval=422973389 TSecr=0 SACK_PERM=1"
